TIdx,Time,NCells_S,NCells_R,NCells,DrugConcentration,rS,rR,mS,mR,dS,dR,dD,dt
0.0,0.0,950.0,50.0,1000.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
1.0,1.0,979.0,52.0,1031.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
2.0,2.0,1009.0,54.0,1063.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
3.0,3.0,1039.0,54.0,1093.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
4.0,4.0,1066.0,53.0,1119.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
5.0,5.0,1085.0,54.0,1139.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
6.0,6.0,1113.0,54.0,1167.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
7.0,7.0,1141.0,57.0,1198.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
8.0,8.0,1175.0,62.0,1237.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
9.0,9.0,1201.0,65.0,1266.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
10.0,10.0,1234.0,68.0,1302.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
11.0,11.0,1266.0,69.0,1335.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
12.0,12.0,1296.0,70.0,1366.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
13.0,13.0,1336.0,71.0,1407.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
14.0,14.0,1364.0,75.0,1439.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
15.0,15.0,1397.0,77.0,1474.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
16.0,16.0,1427.0,78.0,1505.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
17.0,17.0,1452.0,80.0,1532.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
18.0,18.0,1488.0,82.0,1570.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
19.0,19.0,1515.0,84.0,1599.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
20.0,20.0,1548.0,86.0,1634.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
21.0,21.0,1581.0,89.0,1670.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
22.0,22.0,1617.0,91.0,1708.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
23.0,23.0,1646.0,93.0,1739.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
24.0,24.0,1694.0,94.0,1788.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
25.0,25.0,1738.0,95.0,1833.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
26.0,26.0,1784.0,97.0,1881.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
27.0,27.0,1830.0,98.0,1928.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
28.0,28.0,1867.0,100.0,1967.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
29.0,29.0,1901.0,102.0,2003.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
30.0,30.0,1942.0,105.0,2047.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
31.0,31.0,1982.0,108.0,2090.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
32.0,32.0,2019.0,112.0,2131.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
33.0,33.0,2053.0,117.0,2170.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
34.0,34.0,2096.0,119.0,2215.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
35.0,35.0,2126.0,121.0,2247.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
36.0,36.0,2169.0,126.0,2295.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
37.0,37.0,2218.0,130.0,2348.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
38.0,38.0,2266.0,131.0,2397.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
39.0,39.0,2311.0,134.0,2445.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
40.0,40.0,2361.0,140.0,2501.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
41.0,41.0,2408.0,140.0,2548.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
42.0,42.0,2462.0,141.0,2603.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
43.0,43.0,2519.0,142.0,2661.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
44.0,44.0,2573.0,141.0,2714.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
45.0,45.0,2632.0,145.0,2777.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
46.0,46.0,2684.0,149.0,2833.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
47.0,47.0,2735.0,153.0,2888.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
48.0,48.0,2783.0,154.0,2937.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
49.0,49.0,2848.0,160.0,3008.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
50.0,50.0,2902.0,163.0,3065.0,0.0,0.027,0.027,0.0,0.0,0.0027,0.0027,0.75,1.0
